sgRNA	gene	CTRL_ERS717283.plasmid	CTRL_AHumanV1scr_r1-altered	MOLM_rep_1	MOLM_rep_2	MV411_rep_1	MV411_rep_2	HL60_rep_1	HL60_rep_2	OCIAML2_rep_1	OCIAML2_rep_2	OCIAML3_rep_1	OCIAML3_rep_2
ABCA10_CCDS11684.1_ex30_17:67210930-67210953:+_5-4	ABCA10	339	408	111	905	903	967	407	234	355	470	257	280
ABCA10_CCDS11684.1_ex20_17:67183873-67183896:-_5-1	ABCA10	213	268	133	271	171	381	538	586	157	175	309	481
ABCA10_CCDS11684.1_ex21_17:67186574-67186597:-_5-2	ABCA10	527	572	683	480	232	550	359	554	489	731	666	631
ABCA10_CCDS11684.1_ex34_17:67217983-67218006:-_5-5	ABCA10	113	111	373	0	0	123	273	398	72	85	70	77
ABCA10_CCDS11684.1_ex23_17:67188722-67188745:-_5-3	ABCA10	204	198	42	42	55	105	199	139	73	88	109	255
ABCA12_CCDS33372.1_ex29_2:215855583-215855606:+_5-3	ABCA12	89	92	200	12	24	0	180	86	41	42	29	148
ABCA12_CCDS33372.1_ex31_2:215865634-215865657:+_5-4	ABCA12	512	551	416	458	530	622	419	380	387	586	286	430
ABCA12_CCDS33372.1_ex32_2:215866357-215866380:+_5-5	ABCA12	18	22	10	4	0	0	2	4	0	0	0	0
ABCA12_CCDS33372.1_ex28_2:215854281-215854304:-_5-2	ABCA12	180	247	563	107	82	150	126	210	179	176	138	133
ABCA12_CCDS33372.1_ex26_2:215852498-215852521:+_5-1	ABCA12	960	1159	1111	683	1341	1447	826	974	857	1211	727	875
ABCA13_CCDS47584.1_ex8_7:48278980-48279003:+_5-2	ABCA13	332	340	317	331	212	73	365	376	258	490	122	370
ABCA13_CCDS47584.1_ex16_7:48314774-48314797:+_5-4	ABCA13	539	632	802	496	294	658	650	552	491	847	474	577
ABCA13_CCDS47584.1_ex16_7:48315583-48315606:-_5-5	ABCA13	345	359	296	293	218	368	189	385	471	602	345	315
ABCA13_CCDS47584.1_ex16_7:48314257-48314280:+_5-3	ABCA13	215	210	47	205	63	189	59	141	244	171	269	225
ABCA13_CCDS47584.1_ex5_7:48266860-48266883:+_5-1	ABCA13	244	297	151	453	11	186	215	183	216	257	156	193
ABCA2_CCDS43909.1_ex31_9:139911691-139911714:-_5-2	ABCA2	457	496	230	209	69	78	490	403	326	443	472	748
